epoch,train_loss,val_loss,val_pr_auc,val_roc_auc,seed,variant
1,1.378391981124878,1.3922971487045288,0.009053450321955646,0.7333219883813032,3,GraphSAGE 100ep (no graph)
2,1.3361859321594238,1.346431851387024,0.009406574899349566,0.7465112121427953,3,GraphSAGE 100ep (no graph)
3,1.2949409484863281,1.2927145957946777,0.010078413888715458,0.7635188647272216,3,GraphSAGE 100ep (no graph)
4,1.2491761445999146,1.2301654815673828,0.011352032725778461,0.7803415244843026,3,GraphSAGE 100ep (no graph)
5,1.188623309135437,1.1693719625473022,0.014068135954362664,0.7916358624131382,3,GraphSAGE 100ep (no graph)
6,1.1421622037887573,1.12125825881958,0.017510278881933527,0.8002542097818661,3,GraphSAGE 100ep (no graph)
7,1.092583179473877,1.0917209386825562,0.02207007362159141,0.8071209093042788,3,GraphSAGE 100ep (no graph)
8,1.061436414718628,1.0753308534622192,0.021297951229554617,0.8126971524011065,3,GraphSAGE 100ep (no graph)
9,1.0389620065689087,1.0607517957687378,0.017808795185457246,0.8174004396806269,3,GraphSAGE 100ep (no graph)
10,1.0123910903930664,1.0456852912902832,0.015825889347020748,0.8210913333967503,3,GraphSAGE 100ep (no graph)
11,0.9979380965232849,1.0314860343933105,0.016112384701106784,0.8230338297865222,3,GraphSAGE 100ep (no graph)
12,0.9719592928886414,1.0206493139266968,0.018313040678896546,0.8238726312433287,3,GraphSAGE 100ep (no graph)
13,0.9541359543800354,1.0129121541976929,0.021098327043974758,0.8256910820550742,3,GraphSAGE 100ep (no graph)
14,0.9451584219932556,1.0048463344573975,0.02330085916861758,0.8292183742333195,3,GraphSAGE 100ep (no graph)
15,0.9280562996864319,0.9952149987220764,0.0246498633429964,0.8342181041533518,3,GraphSAGE 100ep (no graph)
16,0.9137340188026428,0.9858357906341553,0.0256948946619785,0.8399315861151171,3,GraphSAGE 100ep (no graph)
17,0.901487410068512,0.9770347476005554,0.02631538912516714,0.8453186776311167,3,GraphSAGE 100ep (no graph)
18,0.8917340040206909,0.9700480699539185,0.026841055046082907,0.8489496757367327,3,GraphSAGE 100ep (no graph)
19,0.878664493560791,0.9638389945030212,0.02735273949374492,0.8516631906817153,3,GraphSAGE 100ep (no graph)
20,0.8782237768173218,0.9570556282997131,0.02778990732241303,0.8542501743569348,3,GraphSAGE 100ep (no graph)
21,0.8645061254501343,0.9502303004264832,0.028184181077394222,0.8570247321547649,3,GraphSAGE 100ep (no graph)
22,0.8537387847900391,0.9447045922279358,0.02854320413816514,0.8592716540796654,3,GraphSAGE 100ep (no graph)
23,0.8491171598434448,0.9400179386138916,0.029072455792677306,0.8613110446454136,3,GraphSAGE 100ep (no graph)
24,0.8430055379867554,0.9361051321029663,0.029663188033713858,0.8629238761685739,3,GraphSAGE 100ep (no graph)
25,0.839399516582489,0.9337234497070312,0.029962502036204743,0.8642052263580839,3,GraphSAGE 100ep (no graph)
26,0.8278765678405762,0.9314080476760864,0.03043471207878636,0.8651432164755473,3,GraphSAGE 100ep (no graph)
27,0.8190053701400757,0.9300990104675293,0.030855873807276123,0.8660299392009362,3,GraphSAGE 100ep (no graph)
28,0.8158062100410461,0.9275310039520264,0.03131668822808706,0.8674584471214494,3,GraphSAGE 100ep (no graph)
29,0.7996183037757874,0.9252968430519104,0.031618252861807694,0.8692664054459593,3,GraphSAGE 100ep (no graph)
30,0.8050357103347778,0.92301344871521,0.03195567062048763,0.8715352444797327,3,GraphSAGE 100ep (no graph)
31,0.7993238568305969,0.9212830066680908,0.0326358361235622,0.8738242319571045,3,GraphSAGE 100ep (no graph)
32,0.7964317798614502,0.9198057651519775,0.0334793153126478,0.8762979015503546,3,GraphSAGE 100ep (no graph)
33,0.788297176361084,0.9189804792404175,0.034316747078232936,0.878595110931164,3,GraphSAGE 100ep (no graph)
34,0.7837691307067871,0.9193742871284485,0.034970770597875823,0.8802800753164596,3,GraphSAGE 100ep (no graph)
35,0.785334050655365,0.9193435311317444,0.03561803228902868,0.88130293746621,3,GraphSAGE 100ep (no graph)
36,0.7784265875816345,0.9180196523666382,0.0362165846646608,0.882355388907983,3,GraphSAGE 100ep (no graph)
37,0.7881916165351868,0.9158788919448853,0.03647318016841111,0.8830320706816006,3,GraphSAGE 100ep (no graph)
38,0.77274090051651,0.9152238368988037,0.03615767521010368,0.8834492366775288,3,GraphSAGE 100ep (no graph)
39,0.7689117193222046,0.9158020615577698,0.03559192693063497,0.8834970384417007,3,GraphSAGE 100ep (no graph)
40,0.767392098903656,0.9161640405654907,0.03500157008322477,0.8836805255134745,3,GraphSAGE 100ep (no graph)
41,0.7656254768371582,0.9136771559715271,0.03496605406868616,0.884350777949811,3,GraphSAGE 100ep (no graph)
42,0.7595110535621643,0.911221981048584,0.03529902043285411,0.8850641475774305,3,GraphSAGE 100ep (no graph)
43,0.7620704770088196,0.9093587398529053,0.03558012771196957,0.885453564649257,3,GraphSAGE 100ep (no graph)
44,0.7452617883682251,0.9087268710136414,0.03566957711800355,0.8859767549581186,3,GraphSAGE 100ep (no graph)
45,0.7493850588798523,0.9083915948867798,0.03590544850947818,0.8862683696204492,3,GraphSAGE 100ep (no graph)
