epoch,train_loss,val_loss,val_pr_auc,val_roc_auc,seed,variant
1,1.3948136568069458,1.4248950481414795,0.01315541541757622,0.7287658110310218,2,GraphSAGE 100ep (full graph)
2,1.3631813526153564,1.3982661962509155,0.01958617817690495,0.807558080338513,2,GraphSAGE 100ep (full graph)
3,1.3401057720184326,1.3722460269927979,0.024496843411387144,0.8186725880305338,2,GraphSAGE 100ep (full graph)
4,1.3198152780532837,1.3410439491271973,0.025168617020770112,0.8196622040533028,2,GraphSAGE 100ep (full graph)
5,1.2929729223251343,1.3031905889511108,0.02497828604374526,0.8195498460066167,2,GraphSAGE 100ep (full graph)
6,1.247501254081726,1.2600361108779907,0.024436318363894878,0.8199527670768216,2,GraphSAGE 100ep (full graph)
7,1.2110216617584229,1.2129050493240356,0.023858490192619,0.8217557779187399,2,GraphSAGE 100ep (full graph)
8,1.171156644821167,1.1636983156204224,0.02309829020262439,0.8240460082419803,2,GraphSAGE 100ep (full graph)
9,1.1341252326965332,1.1146818399429321,0.02234615484401037,0.8267948725915679,2,GraphSAGE 100ep (full graph)
10,1.086565375328064,1.0731812715530396,0.021881352544636763,0.8295831972974795,2,GraphSAGE 100ep (full graph)
11,1.048421859741211,1.0431681871414185,0.02173557874700091,0.832003066005154,2,GraphSAGE 100ep (full graph)
12,1.012776255607605,1.02640962600708,0.02173157814762081,0.834280150843247,2,GraphSAGE 100ep (full graph)
13,0.9963772296905518,1.014338731765747,0.021798940265344152,0.8363798911362622,2,GraphSAGE 100ep (full graph)
14,0.9879888296127319,1.0057251453399658,0.0223663336503548,0.838351857313646,2,GraphSAGE 100ep (full graph)
15,0.9890429377555847,0.9989725351333618,0.023028058361144726,0.8410898228610025,2,GraphSAGE 100ep (full graph)
16,0.9789469242095947,0.9882717132568359,0.024295076127532088,0.8445208900879696,2,GraphSAGE 100ep (full graph)
17,0.9572369456291199,0.9715476036071777,0.028310018903290084,0.8484324845492748,2,GraphSAGE 100ep (full graph)
18,0.9370251893997192,0.9567987322807312,0.029916127579872488,0.8524273018820032,2,GraphSAGE 100ep (full graph)
19,0.9124671816825867,0.9470237493515015,0.0322766370342403,0.8562078478068311,2,GraphSAGE 100ep (full graph)
20,0.8916770815849304,0.9352623820304871,0.035431659718488016,0.8594902276463414,2,GraphSAGE 100ep (full graph)
21,0.8741320967674255,0.9253923892974854,0.03882580670406294,0.8625700236092914,2,GraphSAGE 100ep (full graph)
22,0.8673864603042603,0.9196714162826538,0.04230422474557806,0.8656427688120258,2,GraphSAGE 100ep (full graph)
23,0.8697311878204346,0.9170631170272827,0.04645355429708757,0.8684716294139552,2,GraphSAGE 100ep (full graph)
24,0.8694760203361511,0.9123841524124146,0.05061093633498828,0.8712937499671363,2,GraphSAGE 100ep (full graph)
25,0.8602283596992493,0.9027014970779419,0.054822362867574165,0.8738567371567415,2,GraphSAGE 100ep (full graph)
26,0.8428423404693604,0.8950583934783936,0.05912128132495504,0.8764795721550899,2,GraphSAGE 100ep (full graph)
